Species,Subgenus,AustraloPapuan,MajorClade,Oz_Group,Ecology,Mean_logSVL,PC1_LinearMeasurements,PC1_DorsalViewHead,PC1_LateralViewHead
salvator,Soterosaurus,No,SE_Asia,extralimital,Amphibious,5.441857525,-0.186109583,0.081150315,-0.068996514
samarensis,Soterosaurus,No,SE_Asia,extralimital,Amphibious,6.016632841,-0.050175924,0.031149014,-0.043626491
scalaris,Odatria,Yes,Aussie,endemic,Arboreal,5.327219401,-0.139745906,0.014742787,0.000513656
semiremex,Odatria,Yes,Aussie,endemic,Amphibious,5.52583022,-0.088339792,-0.018392894,-0.011546378
semotus,Euprepiosaurus,Yes,Papuan,extralimital,Arboreal,5.983025278,-0.168588016,0.042295556,-0.016718558
solomon,Euprepiosaurus,Yes,Papuan,extralimital,Terrestrial,6.158193074,0.30266966,0.00779135,-6.94E-06
sparnus,Odatria,Yes,Aussie,endemic,Semifossorial,4.713529855,0.535871429,0.002574037,0.01298475
spenceri,Varanus,Yes,Aussie,endemic,Terrestrial,6.170359588,0.576256737,-0.006495473,-0.031873443
spinulosus,Solomonsaurus,Yes,Solomonsaurus,extralimital,Arboreal,5.74516348,-0.005249574,0.010444001,-0.033279886
stellatus,Polydaedalus,No,African,extralimital,Amphibious,5.939351744,0.308406804,0.017807466,0.051050294
storri,Odatria,Yes,Aussie,endemic,Crevice,4.92320964,0.41328361,-0.041954813,0.008256647
timorensis,Odatria,Yes,Aussie,endemic,Arboreal,5.290252966,-0.041977726,-0.010999481,-0.000148817
togianus,Soterosaurus,No,SE_Asia,extralimital,Amphibious,6.003713283,-0.038637657,0.017041582,-0.05159437
tristis,Odatria,Yes,Aussie,endemic,Arboreal,5.297108407,-0.242031568,0.025793604,-0.013705726
varius,Varanus,Yes,Aussie,endemic,Arboreal,6.435379951,0.072625882,0.017604144,-0.067195919
yemenensis,Polydaedalus,No,African,extralimital,Terrestrial,6.029187861,0.602529811,-0.093315912,0.181815971
yuwonoi,Euprepiosaurus,Yes,Papuan,extralimital,Terrestrial,5.936451326,-0.286155248,0.042687669,-0.008629453
